Age,Author,Author_Info,Binding,Brand,Dimensions (L X B X H),Edition,Editor,Exam,Group,Image,Imprint,ISBN_10,ISBN_13,Language,Model,Name,Pages,Price,Product_Code_1,Product_Code_2,Publication_Month,Publication_Year,Publisher,Series_Name,Type,Unique_Id,University,Weight_Gram
,['Michael Reaves Steve Perry'],,Paperback,Random House Publishing Group,,,,,,https://assetscdn.paytm.com/images/catalog/product/9/97/9780345477439_20822/0x1920/70/0.jpg,Lucas Books,34547743,9780345477439,English,8095,Death Star: Star Wars,448,399,9780345477439_20822,48374010,,2008,Random House Publishing Group,,Bestseller Books,d8096966c8274b301a6a0c811c77453c,,500
,['Stephen Lundin'],,Paperback,Hodder & Stoughton,,1,,,,https://assetscdn.paytm.com/images/catalog/product/9/97/9780340821947_97246/0x1920/70/0.jpg,Hodder Paperbacks,340821949,9780340821947,English,4984,Fish Tales,192,399,9780340821947_97246,23079833,,2007,Hodder & Stoughton,,Bestseller Books,3d9d47da6b54901414a7e9710978029f,,130
,['Jacquelyn Frank'],,Others,Ballantine Books,,,,,,https://assetscdn.paytm.com/images/catalog/product/9/97/9780345534927_166253/0x1920/70/0.jpg,Ballantine Books,345534921,97803512,English,8769,Forged,,399,9780345534927_166253,32123069,,2014,Ballantine Books,,Bestseller Books,d91840136873db9351d576db62a1a801,,500
,['Isaac Asimov'],,Others,RHUS (RS),,,,,,https://assetscdn.paytm.com/images/catalog/product/9/97/9780553565072_191287/0x1920/70/0.jpg,Spectra,553565079,9780553565072,English,8684,Forward The Foundation,,399,9780553565072_191287,38724327,,2004,RHUS (RS),,Bestseller Books,d9a71f58937a1c64167656ea411e2594,,500
,['Aaron Allston'],,Paperback,Random House,,,,,,https://assetscdn.paytm.com/images/catalog/product/9/97/9780345477569_21345/0x1920/70/0.jpg,,345477561,9780345477569,English,4244,Star Wars Legacy Of The Force Fury,384,399,9780345477569_21345,51085907,,2007,Random House,,Bestseller Books,92374d7113d772739ea81dee24e943b0,,500
,['P.G.Wodehouse'],,Paperback,Random House,,1,,,,https://assetscdn.paytm.com/images/catalog/product/9/97/9780099513681_23843/0x1920/70/0.jpg,,99513684,9780099513681,English,4244,The Inimitable Jeeves,272,299,9780099513681_23843,8379920,May,2008,PARRAGON PUBLISHING,,Bestseller Books,f5b634a5d78e564dc0166cb0d85a51b1,,200
,['Mary Higgins Clark'],,Paperback,,,1,,,,https://assetscdn.paytm.com/images/catalog/product/9/97/9781849833769_20038/0x1920/70/9.jpg,,1849833761,9781849833769,English,439730,I'Ll Walk Alone,464,350,9781849833769_20038,1012646,,2012,Simon & Schuster India,,Bestseller Books,695ec27f05c42526f1860d257bd89d39,,254
,['Michael Reaves Steve Perry'],,Paperback,Lucasbooks,,,,,,https://assetscdn.paytm.com/images/catalog/product/9/97/9780345463111_20822/0x1920/70/0.jpg,,345463110,9780345463111,English,146363,Jedi Healer: Star Wars,320,399,9780345463111_20822,48374005,,2004,Lucasbooks,,Bestseller Books,20920614ce6e573c33ffaca67759a3e5,,500
,['Michael Reaves'],,Paperback,Random House Publishing Group,,1,,,,https://assetscdn.paytm.com/images/catalog/product/9/97/9780345477507_20822/0x1920/70/0.jpg,Lucas Books,345477502,9780345477507,English,8095,Jedi Twilight: Star Wars,368,399,9780345477507_20822,48374026,,2008,Random House Publishing Group,,Bestseller Books,c853275c390807970d6ca2b69d96c9de,,500
,['Brad Meltzer'],,Paperback,DC Comics,,,,,,https://assetscdn.paytm.com/images/catalog/product/9/97/9781401218690_44120/0x1920/70/6.jpg,Dc Comics,1401218695,9781401218690,English,2080,Justice League Of America Vol. 2: Lightning Saga,,688,9781401218690_44120,10042103,,2009,CRC Press,,Bestseller Books,2d0f3e3a9190ee4f4e874a1596a0660f,,500
,['Kay Hooper'],,Others,,,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9780553590487_20567/0x1920/70/1.jpg,Bantam,553590480,9780553590487,English,439730,C.J.'s Fate,,358,9780553590487_20567,2431977,,2007,CRC Press,,Bestseller Books,0448410537f096ca8766c1072d1e4419,,
,['Devaki Nandan Khatri'],,Paperback,Rupa Publications India,,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9788129131126_30212/0x1920/70/0.jpg,,8129131129,9788129131126,English,6448,Chandrakanta,428,395,9788129131126_30212,22655539,,2015,Rupa Publications India,,Bestseller Books,52c9952541baf44c0f507523b50d8895,,500
